Genes	Type
PSIP1	Stemness
PROM1	Stemness
MAN2A1	Senescence
DPPA4	Senescence
FAM199X	Senescence
ACVR2B	Senescence
AFP	Senescence
B3GALT5	Senescence
C12orf35	Senescence
C2orf56	Senescence
ANKRD10-IT1	Senescence
CD24	Senescence
CD9	Senescence
DNMT3B	Senescence
CBL	Senescence
FAM124A	Senescence
UFM1	Senescence
UGP2	Senescence
UGT8	Senescence
USP44	Senescence
FAM46B	Senescence
FLJ10378	Senescence
FLJ20171	Senescence
FOXD3	Senescence
FOXH1	Senescence
G2E3	Senescence
GATA6	Senescence
TRIM71	Senescence
ESRG	Senescence
HAND1	Senescence
IL6ST	Senescence
LEFTY1	Senescence
LIFR	Senescence
LIN28	Senescence
LINC00545	Senescence
SOX17	Senescence
SOX2	Senescence
MARVELD2	Senescence
MGST1	Senescence
MUM1	Senescence
GDF3	Senescence
GJA1	Senescence
NT5DC1	Senescence
PODXL	Senescence
POU5F1	Senescence
PUM1	Senescence
PUM2	Senescence
RFWD3	Senescence
ZFP42	Senescence
ZIK1	Senescence
STAT3	Senescence
TCF3	Senescence
TDGF1	Senescence
TERF1	Senescence
NANOG	Senescence
TRMT1	Senescence
TRMT13	Senescence
SOX1	Senescence
ZD52F10	Senescence
NANOS1	Senescence
TRA2A	Senescence
TRIM16	Senescence
SNRPD3	Senescence
SNRPN	Senescence
TRIM22	Senescence
SLC3A2	Senescence
SLC44A1	Senescence
TNRC6A	Senescence
SLC39A1	Senescence
SMAD3	Senescence
SMARCA	Senescence
SMG7	Senescence
SNAPC1	Senescence
SNAPC3	Senescence
SNRPA	Senescence
TIMM9	Senescence
SLC38A2	Senescence
SNX1	Senescence
SORT1	Senescence
SOX2	Senescence
SLC7A11	Senescence
SLC7A5	Senescence
TMEM108	Senescence
TMEM109	Senescence
TMEM123	Senescence
TMEM160	Senescence
TMEM16H	Senescence
TMEM170	Senescence
TMEM55B	Senescence
TIMP4	Senescence
TMSB10	Senescence
TNC	Senescence
TNFAIP2	Senescence
TNFSF5IP1	Senescence
SULF1	Senescence
TOP2A	Senescence
TPM3	Senescence
DNAJC16	Senescence
DNM2	Senescence
DPAGT1	Senescence
DPP3	Senescence
TRIM24	Senescence
TRIT1	Senescence
TRPC4AP	Senescence
TSC22D1	Senescence
TSGA14	Senescence
TTF2	Senescence
TUBB	Senescence
TUBG1	Senescence
TXNDC12	Senescence
TXNRD1	Senescence
UBC	Senescence
UBE2C	Senescence
UBE2D3	Senescence
UBE2T	Senescence
UBE2W	Senescence
UBP1	Senescence
TIPIN	Senescence
TJP3	Senescence
TLE1	Senescence
TLE2	Senescence
TLE3	Senescence
TMEM103	Senescence
CYR61	Senescence
DARS2	Senescence
DCAKD	Senescence
DCC1	Senescence
DDX17	Senescence
DDX21	Senescence
TMEM63A	Senescence
DDX5	Senescence
DHDDS	Senescence
DHRS3	Senescence
DHX38	Senescence
DIAPH3	Senescence
DIDO1	Senescence
DKK1	Senescence
SFRS7	Senescence
SFXN1	Senescence
SGK3	Senescence
SGMS1	Senescence
SGTA	Senescence
SH3GL3	Senescence
SKIL	Senescence
PIP5K1C	Senescence
PIPOX	Senescence
PITX2	Senescence
PLEKHA3	Senescence
PLEKHG3	Senescence
PNMA1	Senescence
POLDIP3	Senescence
POLE3	Senescence
POLR3E	Senescence
POLR3G	Senescence
POU2F1	Senescence
POU5F1	Senescence
PPAP2A	Senescence
PPAPDC1B	Senescence
PPM1B	Senescence
PPP1R10	Senescence
PPP1R11	Senescence
SP2	Senescence
SPAG9	Senescence
SPCS2	Senescence
SPIRE1	Senescence
SPRED1	Senescence
SSBP3	Senescence
SSR4	Senescence
ST3GAL2	Senescence
DDX39	Senescence
STAT3	Senescence
STC1	Senescence
STCH	Senescence
STXBP2	Senescence
SUFU	Senescence
GGPS1	Senescence
TAF12	Senescence
TAF15	Senescence
TAL1	Senescence
TALDO1	Senescence
TARBP2	Senescence
TBC1D10B	Senescence
TBC1D17	Senescence
TBL1XR1	Senescence
TBP	Senescence
TCF20	Senescence
TCF7L1	Senescence
TCF7L2	Senescence
TDGF1	Senescence
TEAD2	Senescence
TGIF2	Senescence
THBS2	Senescence
THOP1	Senescence
TIA1	Senescence
TIAL1	Senescence
TIMM8B	Senescence
CREB3L4	Senescence
CRIM1	Senescence
CRKRS	Senescence
CSNK1E	Senescence
CTGF	Senescence
CTH	Senescence
CXCL5	Senescence
CYB5R2	Senescence
HIF1AN	Senescence
HIST1H4C	Senescence
HIST2H2	Senescence
HIST2H2AA3	Senescence
HIST3H2A	Senescence
STAP2	Senescence
HMBOX1	Senescence
HMG20A	Senescence
HMOX1	Senescence
HN1	Senescence
HNRNPA1	Senescence
HNRNPA2B1	Senescence
HNRNPC	Senescence
HNRNPL	Senescence
HNRPK	Senescence
HNRPUL1	Senescence
HSD17B12	Senescence
HSP90AB1	Senescence
DPPA4	Senescence
DPYSL2	Senescence
DPYSL3	Senescence
DTNA	Senescence
DUSP12	Senescence
DUSP6	Senescence
DVL2	Senescence
E2F3	Senescence
EAPP	Senescence
EEF2	Senescence
EGLN3	Senescence
EGR3	Senescence
EIF2C2	Senescence
EIF3F	Senescence
EIF4G2	Senescence
ELAVL2	Senescence
ENPP2	Senescence
ENSA	Senescence
EOMES	Senescence
EPHA1	Senescence
EPM2AIP1	Senescence
ERBB2	Senescence
ERRFI1	Senescence
ETHE1	Senescence
EXOC5	Senescence
EXOSC5	Senescence
EXOSC9	Senescence
HLTF	Senescence
FAM100B	Senescence
FAM115A	Senescence
FAM124A	Senescence
FAM134C	Senescence
FAM33A	Senescence
FAM60A	Senescence
FAM63B	Senescence
FAM76B	Senescence
FAM96A	Senescence
FAM98A	Senescence
FANCC	Senescence
FANCF	Senescence
FARSA	Senescence
FBXL14	Senescence
FBXL19	Senescence
FBXO11	Senescence
FBXO16	Senescence
FBXW11	Senescence
FEM1A	Senescence
FEZ1	Senescence
FGF2	Senescence
FGFR1	Senescence
FGFR2	Senescence
FIP1L1	Senescence
FLJ10769	Senescence
FLJ20309	Senescence
FLJ25801	Senescence
FLJ40125	Senescence
FOXJ2	Senescence
FOXN3	Senescence
FOXO1	Senescence
FOXP1	Senescence
FRAT2	Senescence
FTL	Senescence
FUS	Senescence
FXYD5	Senescence
FZD1	Senescence
FZD10	Senescence
FZD2	Senescence
FZD3	Senescence
FZD7	Senescence
G3BP1	Senescence
GADD45G	Senescence
GBF1	Senescence
GDAP1	Senescence
GGA1	Senescence
ZSCAN2	Senescence
GJA1	Senescence
GLT8D3	Senescence
GNA13	Senescence
GNAI1	Senescence
GNG10	Senescence
GNPTAB	Senescence
GPC6	Senescence
GRHL2	Senescence
GRID2	Senescence
GRK6	Senescence
GSK3A	Senescence
GSK3B	Senescence
GSPT2	Senescence
GTPBP3	Senescence
H2AFJ	Senescence
H2AFX	Senescence
H3F3B	Senescence
HAS2	Senescence
HBP1	Senescence
HDAC2	Senescence
HDAC9	Senescence
HDGF2	Senescence
HECTD2	Senescence
HELLS	Senescence
HEPH	Senescence
HESX1	Senescence
HEXIM2	Senescence
HHEX	Senescence
APP	Senescence
AQP2	Senescence
ARF3	Senescence
ARF4	Senescence
ARFGEF1	Senescence
ARHGAP1	Senescence
ARHGAP11A	Senescence
ARID1B	Senescence
ARID4B	Senescence
ARID5B	Senescence
ARIH1	Senescence
ARL4D	Senescence
ARMC6	Senescence
ARRDC3	Senescence
ASNA1	Senescence
ATAD2	Senescence
ATF3	Senescence
ATF4	Senescence
HSP90B1	Senescence
HUWE1	Senescence
HYPE	Senescence
ICMT	Senescence
ID1	Senescence
IDH3G	Senescence
IER5L	Senescence
IFI16	Senescence
IGF2BP3	Senescence
IGFBP2	Senescence
IK	Senescence
ILF2	Senescence
ILF3	Senescence
ING4	Senescence
INHBA	Senescence
IRX2	Senescence
IWS1	Senescence
UBQLN4	Senescence
UBR1	Senescence
UBR5	Senescence
UCRC	Senescence
UFD1L	Senescence
UFM1	Senescence
UGT8	Senescence
UIMC1	Senescence
URM1	Senescence
USO1	Senescence
EXPH5	Senescence
PCSK5	Senescence
PCTK1	Senescence
PCTK2	Senescence
PDCL	Senescence
PDPN	Senescence
PER2	Senescence
PERLD1	Senescence
PFTK1	Senescence
PGM2L1	Senescence
PHF17	Senescence
PHF23	Senescence
PHF8	Senescence
PIF1	Senescence
PIH1D1	Senescence
PIK3R3	Senescence
PIN4	Senescence
C1orf55	Senescence
C20orf194	Senescence
C20orf96	Senescence
C21orf66	Senescence
C22orf13	Senescence
C5orf4	Senescence
C6orf130	Senescence
C6orf166	Senescence
C8orf42	Senescence
C9orf5	Senescence
C9orf97	Senescence
CA2	Senescence
CA4	Senescence
CABLES1	Senescence
CACHD1	Senescence
CACNA1A	Senescence
CACNA2D	Senescence
PPP1R15A	Senescence
PPP1R2	Senescence
PPP2R1A	Senescence
PPP2R1B	Senescence
PPP2R3A	Senescence
PPP2R3C	Senescence
PPP2R5C	Senescence
PRCC	Senescence
PRDM14	Senescence
PRDX1	Senescence
PRKAR1A	Senescence
PRKCDBP	Senescence
PRKRIP1	Senescence
PRNP	Senescence
PRPF19	Senescence
PRPF38A	Senescence
PRPSAP1	Senescence
PRR11	Senescence
PRSS8	Senescence
PSEN2	Senescence
PSMB1	Senescence
PSMC2	Senescence
PTN	Senescence
PTPN2	Senescence
PTPN3	Senescence
PUM1	Senescence
PWP1	Senescence
RAB15	Senescence
RAB17	Senescence
RAB25	Senescence
RAB3GAP2	Senescence
RAB4B	Senescence
RAB5A	Senescence
RAD23A	Senescence
RAD54B	Senescence
RANBP10	Senescence
RASA1	Senescence
RASGRF2	Senescence
RASL11B	Senescence
RBBP9	Senescence
RBM22	Senescence
RBM23	Senescence
RBM39	Senescence
RBPMS	Senescence
RCOR3	Senescence
RDH10	Senescence
RDH11	Senescence
REST	Senescence
RFX1	Senescence
RGS10	Senescence
RIC8B	Senescence
RIF1	Senescence
RIPK1	Senescence
RMI1	Senescence
RNF14	Senescence
RNF24	Senescence
RNF31	Senescence
RNUXA	Senescence
ROR1	Senescence
RPL15	Senescence
RPL30	Senescence
RPL36A	Senescence
RPL7	Senescence
RPL9	Senescence
RPLP1	Senescence
RPS18	Senescence
RPS26	Senescence
RPS29	Senescence
RPS3A	Senescence
RRN3	Senescence
RRS1	Senescence
RSF1	Senescence
RSRC2	Senescence
RTN2	Senescence
SALL1	Senescence
SAP30	Senescence
SASH1	Senescence
SAT1	Senescence
SAV1	Senescence
SC5DL	Senescence
SCAF1	Senescence
SCG3	Senescence
SCNM1	Senescence
SCNN1A	Senescence
SDCCAG1	Senescence
SDCCAG8	Senescence
SDHD	Senescence
SEMA6A	Senescence
SENP2	Senescence
SERPINA1	Senescence
SET	Senescence
SF3B5	Senescence
SFPQ	Senescence
SFRP1	Senescence
SFRP2	Senescence
SFRS14	Senescence
SFRS15	Senescence
SFRS18	Senescence
SFRS4	Senescence
VPS52	Senescence
WBP11	Senescence
WDFY2	Senescence
WDR23	Senescence
WDR36	Senescence
WDR77	Senescence
WDR81	Senescence
WHSC1L1	Senescence
XAB2	Senescence
XRRA1	Senescence
ZCCHC14	Senescence
ZCCHC3	Senescence
ZCRB1	Senescence
ZEB2	Senescence
ZFP36L1	Senescence
ZFYVE19	Senescence
ZIC1	Senescence
ZIC2	Senescence
ZIC3	Senescence
ZIK1	Senescence
ZNF140	Senescence
ZNF217	Senescence
ZNF281	Senescence
ZNF286A	Senescence
ZNF300	Senescence
ZNF331	Senescence
ZNF335	Senescence
ZNF428	Senescence
ZNF516	Senescence
ZNF646	Senescence
ZNF664	Senescence
ZNF668	Senescence
ZNF677	Senescence
ZNF701	Senescence
ZNF770	Senescence
ZRF1	Senescence
AASDH	Senescence
ABCB7	Senescence
ABCF2	Senescence
ABHD11	Senescence
ABLIM1	Senescence
ABTB2	Senescence
ACIN1	Senescence
ACO2	Senescence
ACOT8	Senescence
ACOX1	Senescence
ACTR1A	Senescence
ADAR	Senescence
ADD3	Senescence
ADFP	Senescence
ADRBK2	Senescence
AK3	Senescence
AKT1S1	Senescence
ALCAM	Senescence
ALDH7A1	Senescence
ALPL	Senescence
AMOTL1	Senescence
ANKHD1	Senescence
ANKRD1	Senescence
ANKRD15	Senescence
ANP32A	Senescence
ANP32B	Senescence
AP2A1	Senescence
AP3B1	Senescence
APEX1	Senescence
APH1A	Senescence
NAALAD2	Senescence
NAG	Senescence
NANOG	Senescence
NAT12	Senescence
NBR1	Senescence
NCBP1	Senescence
NCDN	Senescence
NDUFA11	Senescence
NDUFA2	Senescence
NDUFB5	Senescence
NDUFB8	Senescence
NEBL	Senescence
NEDD4L	Senescence
NFE2L3	Senescence
NIP7	Senescence
NIT1	Senescence
NKIRAS1	Senescence
NKTR	Senescence
ATP5F1	Senescence
ATP6V1G	Senescence
ATPBD4	Senescence
AUH	Senescence
AVEN	Senescence
AZI1	Senescence
B3GALT4	Senescence
B4GALT6	Senescence
BAMBI	Senescence
BCAT1	Senescence
BCKDHA	Senescence
BCL9	Senescence
BCLAF1	Senescence
BDH2	Senescence
BMP2	Senescence
BMP7	Senescence
BTF3L4	Senescence
JARID2	Senescence
JMJD1A	Senescence
JUB	Senescence
JUP	Senescence
KCNMB4	Senescence
KCNN2	Senescence
KDR	Senescence
KIAA0247	Senescence
KIAA0280	Senescence
KIAA0319L	Senescence
USP25	Senescence
USP44	Senescence
USP49	Senescence
USP7	Senescence
VASH2	Senescence
VASP	Senescence
VAT1	Senescence
VCAN	Senescence
VIM	Senescence
VPS35	Senescence
C1orf108	Senescence
C1orf163	Senescence
C1orf174	Senescence
C1orf21	Senescence
C1orf211	Senescence
C1orf54	Senescence
LARGE	Senescence
LARP7	Senescence
LASP1	Senescence
LEFTY1	Senescence
LEFTY2	Senescence
LHPP	Senescence
LINGO1	Senescence
LOH11CR2A	Senescence
LOXL2	Senescence
LPHN1	Senescence
LRAT	Senescence
LRFN3	Senescence
LRP2	Senescence
LRRN1	Senescence
LSG1	Senescence
LSM3	Senescence
LSM4	Senescence
CALM2	Senescence
CALR	Senescence
CAPRIN1	Senescence
CAPZA2	Senescence
CASP9	Senescence
CBX3	Senescence
CBX5	Senescence
CBY1	Senescence
CCDC123	Senescence
CCDC45	Senescence
CCDC93	Senescence
CCDC94	Senescence
CCND1	Senescence
CDC14B	Senescence
CDC2	Senescence
CDC42BPA	Senescence
CDC45L	Senescence
CDC7	Senescence
CDH2	Senescence
CDH3	Senescence
CDK6	Senescence
CDYL	Senescence
CER1	Senescence
CETN3	Senescence
CFL1	Senescence
CISD1	Senescence
CLIC4	Senescence
CLN3	Senescence
CLP1	Senescence
CNOT8	Senescence
COL12A1	Senescence
COMMD3	Senescence
COMMD7	Senescence
COPB1	Senescence
COPS7A	Senescence
CPT1A	Senescence
MST150	Senescence
MTF2	Senescence
MTM1	Senescence
MTSS1	Senescence
MUS81	Senescence
MYNN	Senescence
MYO9A	Senescence
MYST3	Senescence
C12orf60	Senescence
C13orf7	Senescence
C14orf108	Senescence
C14orf115	Senescence
C14orf119	Senescence
C14orf122	Senescence
C14orf138	Senescence
C14orf159	Senescence
C15orf29	Senescence
C16orf80	Senescence
C18orf37	Senescence
C19orf43	Senescence
C19orf54	Senescence
C19orf58	Senescence
KIF2C	Senescence
KLF5	Senescence
KLHL5	Senescence
KNTC1	Senescence
NME7	Senescence
NMU	Senescence
NOC3L	Senescence
NOL6	Senescence
NOTCH1	Senescence
NP	Senescence
NSUN3	Senescence
NUCKS1	Senescence
NUDT4	Senescence
NUFIP2	Senescence
NUP160	Senescence
NUSAP1	Senescence
OAZ2	Senescence
OBSL1	Senescence
ODF2L	Senescence
OGT	Senescence
BTG1	Senescence
BUB1B	Senescence
BUB3	Senescence
C11orf67	Senescence
C11orf73	Senescence
C12orf35	Senescence
MAN2C1	Senescence
MAP3K11	Senescence
MAP3K12	Senescence
MAPBPIP	Senescence
MAPRE2	Senescence
MAST1	Senescence
MAT2B	Senescence
MCTS1	Senescence
MDC1	Senescence
MED12	Senescence
MED17	Senescence
MED25	Senescence
MEX3C	Senescence
MGEA5	Senescence
MKKS	Senescence
MLH1	Senescence
MLLT10	Senescence
MOBP	Senescence
KPNA3	Senescence
LAMA4	Senescence
MOSPD3	Senescence
MPHOSPH1	Senescence
MPND	Senescence
MRPL15	Senescence
MRPL43	Senescence
MRPL47	Senescence
MRPS11	Senescence
MRPS18B	Senescence
MRPS23	Senescence
MRPS27	Senescence
MRPS31	Senescence
MSC	Senescence
MSL3L1	Senescence
KIAA0368	Senescence
KIAA0391	Senescence
OIP5	Senescence
OLFML3	Senescence
LSMD1	Senescence
LYPD1	Senescence
MAGED2	Senescence
OSGEP	Senescence
OXA1L	Senescence
PAK1	Senescence
PARG	Senescence
PCBP1	Senescence
PCF11	Senescence
MORF4L2	Senescence
KIAA1279	Senescence
KIAA0495	Senescence
KIAA1143	Senescence
KIAA1166	Senescence
KIF11	Senescence
KIF15	Senescence
KIF26A	Senescence
ORC1L	Senescence
PCNXL3	Senescence
MORF4L1	Senescence
ORC6L	Senescence
OSBPL1A	Senescence
ITGB4BP	Stemness
NLN	Stemness
IPO9	Stemness
NME2	Stemness
HNRNPA1	Stemness
HELLS	Stemness
NME4	Stemness
HN1	Stemness
HPRP8BP	Stemness
HRMT1L3	Stemness
HSPA14	Stemness
HSPA9B	Stemness
HSPE1	Stemness
IARS	Stemness
MRPS36	Stemness
HMGB2	Stemness
KIF11	Stemness
KIF20A	Stemness
HNRNPL	Stemness
HNRPAB	Stemness
HNRPK	Stemness
NASP	Stemness
NCAPD2	Stemness
NCBP2	Stemness
NCL	Stemness
NDUFA11	Stemness
NDUFA9	Stemness
NDUFAB1	Stemness
MRTO4	Stemness
NDUFB7	Stemness
NDUFB8	Stemness
NDUFS2	Stemness
NEK2	Stemness
NHP2	Stemness
NIP7	Stemness
NIPSNAP1	Stemness
DNMT1	Stemness
DPP3	Stemness
DTYMK	Stemness
E2F3	Stemness
NOLA3	Stemness
NONO	Stemness
NOP2	Stemness
NSBP1	Stemness
NT5DC2	Stemness
NTHL1	Stemness
NUP107	Stemness
NUSAP1	Stemness
ORC1L	Stemness
OTX2	Stemness
PA2G4	Stemness
PABPC1	Stemness
PARP1	Stemness
PCNA	Stemness
PDCD2	Stemness
PDHA1	Stemness
MSH2	Stemness
MTF2	Stemness
MTHFD2	Stemness
MYBL2	Stemness
MYC	Stemness
NAP1L1	Stemness
CRABP2	Stemness
CSE1L	Stemness
CSRP2	Stemness
CTNNA1	Stemness
CTSC	Stemness
CYCS	Stemness
NDUFB10	Stemness
DARS2	Stemness
DBF4	Stemness
DDX18	Stemness
DEK	Stemness
DHX9	Stemness
DLAT	Stemness
DLG7	Stemness
GNPDA1	Stemness
GSPT2	Stemness
GTSE1	Stemness
HADH	Stemness
HAT1	Stemness
HDAC1	Stemness
ABCB7	Stemness
ACAD8	Stemness
ADH5	Stemness
ADSL	Stemness
AK3L1	Stemness
ALDH7A1	Stemness
ALDOC	Stemness
AMOTL2	Stemness
ANP32E	Stemness
APEX1	Stemness
ATP5J	Stemness
ATP5O	Stemness
AURKA	Stemness
AURKB	Stemness
BANF1	Stemness
BAX	Stemness
BCAT1	Stemness
KIF22	Stemness
KIF23	Stemness
KIF4A	Stemness
KNTC2	Stemness
KPNA2	Stemness
KPNA6	Stemness
KRAS	Stemness
LMNB1	Stemness
LOC134492	Stemness
DAP3	Stemness
LSM2	Stemness
LSM4	Stemness
LSM5	Stemness
LYPLA1	Stemness
MAD2L1	Stemness
MAPK13	Stemness
MCM2	Stemness
MCM3	Stemness
MCM4	Stemness
MCM5	Stemness
MCM7	Stemness
MID1IP1	Stemness
MKI67IP	Stemness
MRPL11	Stemness
MRPL12	Stemness
MRPL13	Stemness
MRPL15	Stemness
MRPL16	Stemness
MRPL37	Stemness
MRPL39	Stemness
MRPL4	Stemness
MRPS17	Stemness
MRPS18B	Stemness
MRPS2	Stemness
MRPS28	Stemness
MRPS30	Stemness
CISD1	Stemness
CKAP2	Stemness
CKS1B	Stemness
CKS2	Stemness
CLPP	Stemness
COQ3	Stemness
COX4NB	Stemness
COX5B	Stemness
TERF1	Stemness
TGIF	Stemness
TGIF2	Stemness
THOC3	Stemness
TIMM13	Stemness
LSM10	Stemness
TIMM8A	Stemness
TIMM8B	Stemness
TMEFF1	Stemness
TOP2A	Stemness
TP53	Stemness
TRIP13	Stemness
TRIP6	Stemness
TTK	Stemness
U2AF1	Stemness
UBE2G1	Stemness
UBE2V2	Stemness
UGDH	Stemness
EBNA1BP2	Stemness
ECHS1	Stemness
EEF1E1	Stemness
EEF2	Stemness
EIF2S2	Stemness
EIF2S3	Stemness
EIF3S10	Stemness
EIF3S12	Stemness
EIF3S2	Stemness
EIF3S6IP	Stemness
EIF4A1	Stemness
EIF4B	Stemness
EIF4EBP1	Stemness
ELOVL6	Stemness
ENO1	Stemness
ERP29	Stemness
ETFA	Stemness
EXO1	Stemness
EXOSC7	Stemness
FAM136A	Stemness
FAM60A	Stemness
FARSA	Stemness
FBL	Stemness
FDPS	Stemness
FGFR1	Stemness
FH	Stemness
FLJ20105	Stemness
TIMM44	Stemness
GARS	Stemness
GART	Stemness
GEMIN6	Stemness
GJA1	Stemness
GLDC	Stemness
GLO1	Stemness
GMNN	Stemness
GNA14	Stemness
GNL3	Stemness
PROM1	Stemness
PRPS1	Stemness
PSMA5	Stemness
PSMA7	Stemness
PSMB5	Stemness
PSMB6	Stemness
PSMD14	Stemness
PSME3	Stemness
PUS1	Stemness
RAB34	Stemness
RACGAP1	Stemness
RAD18	Stemness
RAD23B	Stemness
RAMP	Stemness
RCC1	Stemness
RCN2	Stemness
RFC3	Stemness
RNPS1	Stemness
RPA2	Stemness
RPA3	Stemness
RPL10A	Stemness
RPL13	Stemness
RPL22	Stemness
RPL27A	Stemness
BIRC5	Stemness
BLM	Stemness
BRIX	Stemness
BRRN1	Stemness
BTF3	Stemness
BUB1	Stemness
BUB1B	Stemness
BUB3	Stemness
C11orf48	Stemness
C2orf47	Stemness
CBX3	Stemness
CCDC5	Stemness
CCNA2	Stemness
CCNB2	Stemness
CCNC	Stemness
CCND1	Stemness
CCND2	Stemness
CCNF	Stemness
CCT5	Stemness
CDC2	Stemness
CDC20	Stemness
CDC34	Stemness
CDC6	Stemness
CDC7	Stemness
CDCA3	Stemness
CDCA5	Stemness
CDCA7	Stemness
CDCA8	Stemness
CDK4	Stemness
CDKN1C	Stemness
CDKN3	Stemness
CGI-48	Stemness
CHAF1A	Stemness
CHEK1	Stemness
CHEK2	Stemness
SSB	Stemness
STIP1	Stemness
STOML2	Stemness
SUMO1	Stemness
TCF19	Stemness
TCF7L1	Stemness
TCOF1	Stemness
TD-60	Stemness
TEAD2	Stemness
PLK4	Stemness
POLD1	Stemness
POLE2	Stemness
G3BP1	Stemness
POLR2F	Stemness
POLR3K	Stemness
POP7	Stemness
PPM1G	Stemness
PPP4C	Stemness
PRDX1	Stemness
PRIM1	Stemness
PRIM2A	Stemness
PRMT1	Stemness
SDHD	Stemness
SEPHS2	Stemness
SERPINH1	Stemness
SET	Stemness
SIP1	Stemness
UQCR	Stemness
UQCRH	Stemness
VBP1	Stemness
VRK1	Stemness
WBP11	Stemness
WDHD1	Stemness
WDR77	Stemness
WEE1	Stemness
XPO1	Stemness
XRCC5	Stemness
YAP1	Stemness
YY1	Stemness
ZIC3	Stemness
ZNF22	Stemness
RPS8	Stemness
PDIA4	Stemness
PDPN	Stemness
PHB	Stemness
PHC1	Stemness
PHF5A	Stemness
PIPOX	Stemness
PLK1	Stemness
RPS19	Stemness
RPS23	Stemness
RPS27	Stemness
RPS3	Stemness
RPS5	Stemness
SLC16A1	Stemness
RPSA	Stemness
RRM1	Stemness
RRM2	Stemness
RUVBL1	Stemness
RUVBL2	Stemness
SARS	Stemness
SDHC	Stemness
SNX5	Stemness
SOX2	Stemness
SPAG5	Stemness
SQLE	Stemness
SRSF10	Stemness
SS18	Stemness
SLC25A5	Stemness
SLC2A1	Stemness
SMC2L1	Stemness
SMC4	Stemness
SNRPA	Stemness
SNRPA1	Stemness
SNRPD1	Stemness
RPS16	Stemness
RPP40	Stemness
RPS12	Stemness
CCDC34	Stemness
BEX1	Stemness
MEST	Stemness
NAP1L3	Stemness
AIG1	Stemness
MAGED4	Stemness
MBOAT2	Stemness
LRRC16	Stemness
GPR125	Stemness
CD200	Stemness
CEP70	Stemness
EPDR1	Stemness
IFT81	Stemness
KDM5B	Stemness
LAPTM4B	Stemness
CLGN	Stemness
CRISPLD1	Stemness
DHFR	Stemness
ZNF135	Senescence
DUT	Senescence
EFCAB2	Senescence
ZNF326	Senescence
ATP2C1	Senescence
DVL3	Senescence
ZMYM4	Senescence
DPY19L3	Senescence
DRIM	Senescence
BIVM	Senescence
CCDC34	Senescence
CD200	Senescence
CEP70	Senescence
CHCHD3	Senescence
CLGN	Senescence
CMTM4	Senescence
CRISPLD1	Senescence
CUTA	Senescence
B3GALNT1	Senescence
BAALC	Senescence
BBX	Senescence
BEX1	Senescence
NUCKS1	Senescence
OBSL1	Senescence
PAICS	Senescence
PAPSS1	Senescence
PBX1	Senescence
PDE1A	Senescence
PHGDH	Senescence
PHYH	Senescence
PIGF	Senescence
CXXC5	Senescence
DCC1	Senescence
DHFR	Senescence
NRIP1	Senescence
PPIL4	Senescence
PRDM16	Senescence
PTPN11	Senescence
RAB7B	Senescence
RANBP5	Senescence
RBBP8	Senescence
RHOBTB3	Senescence
RNF12	Senescence
ROBO1	Senescence
SEH1L	Senescence
SEPP1	Senescence
SERPING1	Senescence
SLC2A10	Senescence
SMAD5	Senescence
SPAG9	Senescence
SV2A	Senescence
TBL1XR1	Senescence
TIMP3	Senescence
TMEM5	Senescence
TMEM9	Senescence
TP53BP1	Senescence
TPR	Senescence
TRO	Senescence
TSC22D1	Senescence
TSPYL5	Senescence
WHSC1	Senescence
ZAK	Senescence
NEK1	Senescence
NENF	Senescence
GOPC	Senescence
ZNF334	Senescence
ZNF410	Senescence
ZNF470	Senescence
ZNF667	Senescence
ZNF70	Senescence
ZNF85	Senescence
PKD2	Senescence
PKP4	Senescence
PLEKHA5	Senescence
PNN	Senescence
FZD7	Senescence
GOLGB1	Senescence
LOC81691	Senescence
GPAM	Senescence
ACY1	Senescence
AHI1	Senescence
AIG1	Senescence
ALDH18A1	Senescence
ANGPT1	Senescence
ANKRD10	Senescence
IFT81	Senescence
KDM5B	Senescence
LAPTM4B	Senescence
LDOC1L	Senescence
LGALS3BP	Senescence
MBOAT2	Senescence
LRP6	Senescence
LRRC16	Senescence
MAGED4	Senescence
MUT	Senescence
MEIS1	Senescence
MEST	Senescence
MNS1	Senescence
GPR125	Senescence
NAP1L3	Senescence
NAP1L5	Senescence
NDN	Senescence
EIF4E	Senescence
GSTA4	Senescence
EFHA2	Senescence
EHBP1	Senescence
FAM98A	Senescence
ELN	Senescence
EPDR1	Senescence
EPM2AIP1	Senescence
GTF2H2	Senescence
HELLS	Senescence
HSPD1	Senescence
GSTM1	Senescence
GATA2	Stemness
GPR126	Stemness
FLT3	Stemness
RAPGEF2	Stemness
GNA15	Stemness
CDCA7	Stemness
CDK6	Stemness
CHRDL1	Stemness
CHST13	Stemness
COL24A1	Stemness
CPXM1	Stemness
STARD9	Stemness
STT3B	Stemness
TARDBP	Stemness
TCTEX1D1	Stemness
VWDE	Stemness
WDR49	Stemness
ZNF711	Stemness
ZNRF1	Stemness
C1QTNF4	Stemness
CD34	Stemness
MLLT3	Stemness
MPL	Stemness
MPO	Stemness
MPPED2	Stemness
CRHBP	Stemness
CRISPLD1	Stemness
DDX17	Stemness
DEPTOR	Stemness
DLK1	Stemness
DNMT3B	Stemness
DPPA4	Stemness
DPY19L2	Stemness
DSG2	Stemness
ETV6	Stemness
FAM65C	Stemness
