Genes	Type
HSD17B2	Stemness
HSD17B4	Stemness
HSPC121	Stemness
HSPC132	Stemness
HSPC163	Stemness
HSPE1	Stemness
HTR2A	Stemness
ICMT	Stemness
ABCB7	Stemness
ACHE	Stemness
ACSS3	Stemness
ACVR2B	Stemness
ADD2	Stemness
AK3L1	Stemness
AKAP2	Stemness
ALDH7A1	Stemness
ALKBH7	Stemness
ANKS6	Stemness
AP1M2	Stemness
AP1S2	Stemness
APEH	Stemness
APOB	Stemness
APOC1	Stemness
APOE	Stemness
ARHGEF16	Stemness
ARID3B	Stemness
KIAA0888	Stemness
KIAA1166	Stemness
KIAA1576	Stemness
KIAA1727	Stemness
KIF26A	Stemness
KIF3C	Stemness
KLK8	Stemness
KNOP1	Stemness
KPNA2	Stemness
KPNA6	Stemness
KRAS	Stemness
KRT19	Stemness
KRT8	Stemness
KRTCAP3	Stemness
BAK1	Stemness
BASP1	Stemness
BAX	Stemness
BBC3	Stemness
BCAT1	Stemness
BCL9	Stemness
BICD1	Stemness
BIRC5	Stemness
BMP7	Stemness
BMPR1A	Stemness
BOLA2	Stemness
BTC	Stemness
BTF3L4	Stemness
C10orf35	Stemness
C12orf45	Stemness
C16orf34	Stemness
C1GALT1	Stemness
C1orf106	Stemness
C1orf108	Stemness
C20orf129	Stemness
C6orf211	Stemness
C8orf42	Stemness
CACHD1	Stemness
CACNA2D2	Stemness
CALB1	Stemness
CALU	Stemness
CAP2	Stemness
CAPG	Stemness
CAPZA2	Stemness
CASP3	Stemness
CBS	Stemness
CCBL1	Stemness
CCL2	Stemness
CCNC	Stemness
CCND2	Stemness
CCNE1	Stemness
CCNF	Stemness
CD200	Stemness
CD24	Stemness
CD276	Stemness
CDC14B	Stemness
CDC25A	Stemness
CDC6	Stemness
CDCA5	Stemness
CDCA7	Stemness
CDH1	Stemness
PRDX2	Stemness
PRDX5	Stemness
PRELID1	Stemness
PRICKLE1	Stemness
PRIM2A	Stemness
PRKAB2	Stemness
PRKX	Stemness
PRMT1	Stemness
PROM1	Stemness
PRPS1	Stemness
PRR5	Stemness
PRSS8	Stemness
PSMA2	Stemness
PSMB2	Stemness
PSMB6	Stemness
PSRC1	Stemness
PTAR1	Stemness
PTBP1	Stemness
PTK7	Stemness
PTMA	Stemness
PTMS	Stemness
PTPRF	Stemness
PTPRN	Stemness
PTPRS	Stemness
PTPRU	Stemness
PTPRZ1	Stemness
PTTG1	Stemness
PUNC	Stemness
PVRL2	Stemness
PXDN	Stemness
RAB34	Stemness
RAB3B	Stemness
RALY	Stemness
RAMP	Stemness
RAMP2	Stemness
RASGEF1A	Stemness
RASL11B	Stemness
RBM47	Stemness
RBMX	Stemness
RBPMS	Stemness
RBPMS2	Stemness
REST	Stemness
RFC3	Stemness
RHNO1	Stemness
RNASEH2A	Stemness
RNF12	Stemness
RNF149	Stemness
RNF175	Stemness
RNF41	Stemness
RNU3IP2	Stemness
RPA3	Stemness
RPL22	Stemness
RPS10	Stemness
RPS19	Stemness
RPS21	Stemness
RPS3	Stemness
RPS6KA1	Stemness
RPSA	Stemness
RRAS2	Stemness
RYBP	Stemness
SALL2	Stemness
SAPCD2	Stemness
SBK1	Stemness
SC5DL	Stemness
SCAMP5	Stemness
SCG3	Stemness
SCG5	Stemness
SCGB3A2	Stemness
SCHIP1	Stemness
SCNN1A	Stemness
SCOTIN	Stemness
SDC4	Stemness
SEC61A2	Stemness
SEMA4C	Stemness
SEMA6A	Stemness
SEPHS1	Stemness
SEPN1	Stemness
SERPINB8	Stemness
SERPINB9	Stemness
SERPINH1	Stemness
SESN2	Stemness
SET	Stemness
SEZ6L2	Stemness
SFTPC	Stemness
SH2D2A	Stemness
SHF	Stemness
SIAT1	Stemness
SILV	Stemness
SKA3	Stemness
SLC16A1	Stemness
SLC25A11	Stemness
SLC25A29	Stemness
SLC25A6	Stemness
SLC29A1	Stemness
SLC2A1	Stemness
SLC2A3	Stemness
SLC39A1	Stemness
SLC39A10	Stemness
SLC3A2	Stemness
LSM7	Stemness
LUM	Stemness
LYPLA1	Stemness
LYPLA2	Stemness
M6PR	Stemness
MACC1	Stemness
MAGED4	Stemness
MALSU1	Stemness
MAP3K5	Stemness
MAP7D3	Stemness
MAPK1	Stemness
MBD2	Stemness
MBL2	Stemness
MCAM	Stemness
MCM2	Stemness
MCM3	Stemness
MCM4	Stemness
MDK	Stemness
MDN1	Stemness
MED22	Stemness
MED28	Stemness
METTL13	Stemness
MFAP2	Stemness
MGC10911	Stemness
MGC24665	Stemness
MGC3101	Stemness
MGST1	Stemness
MIAT	Stemness
MID1	Stemness
MLEC	Stemness
MLF2	Stemness
MLLT11	Stemness
MON1B	Stemness
MOSC1	Stemness
MRPL11	Stemness
MRPL12	Stemness
MRPL15	Stemness
MRPS16	Stemness
MRPS21	Stemness
MRPS26	Stemness
MRPS34	Stemness
MRS2L	Stemness
MSH2	Stemness
MSL1	Stemness
MT1F	Stemness
MT1H	Stemness
MT1M	Stemness
MT1X	Stemness
MTA3	Stemness
MTF2	Stemness
MTHFD2	Stemness
MTL5	Stemness
MTMR9	Stemness
MYBL2	Stemness
MYCL1	Stemness
MYCN	Stemness
MYH10	Stemness
MYO10	Stemness
MYST1	Stemness
N4BP3	Stemness
NALP2	Stemness
NAP1L1	Stemness
NASP	Stemness
NAV2	Stemness
NBPF15	Stemness
NDUFA1	Stemness
NDUFA13	Stemness
NDUFA4	Stemness
NDUFAB1	Stemness
NDUFB11	Stemness
NDUFS5	Stemness
NEDD4L	Stemness
NEFL	Stemness
NELFB	Stemness
NES	Stemness
NFE2L3	Stemness
NLE1	Stemness
NLGN4X	Stemness
NLN	Stemness
NME2	Stemness
NOLA3	Stemness
NOTCH3	Stemness
NR2F6	Stemness
NRBP1	Stemness
NTHL1	Stemness
NTS	Stemness
NUAK1	Stemness
NUCKS1	Stemness
NUDT1	Stemness
NUDT15	Stemness
NXN	Stemness
OGDHL	Stemness
OIP5-AS1	Stemness
OLFM1	Stemness
ORC1L	Stemness
OSBPL6	Stemness
OTX2	Stemness
PAI-RBP1	Stemness
PAICS	Stemness
PAIP2B	Stemness
PAK1	Stemness
LARS	Stemness
LARS2	Stemness
LBH	Stemness
LDB3	Stemness
LDHD	Stemness
LEFTY2	Stemness
LEPREL2	Stemness
LIMD2	Stemness
LIN28B	Stemness
LINC01139	Stemness
LITAF	Stemness
LMNB1	Stemness
LMNB2	Stemness
LOC389906	Stemness
LOC400451	Stemness
LOXL2	Stemness
LPCAT1	Stemness
LPHN2	Stemness
LRRN1	Stemness
LSM12	Stemness
CP	Stemness
CPA3	Stemness
CPXM1	Stemness
CRABP1	Stemness
CRABP2	Stemness
CRISPLD1	Stemness
CRMP1	Stemness
CRSP2	Stemness
CRYM	Stemness
CSRP2	Stemness
CTH	Stemness
CTNNA1	Stemness
CTNNBIP1	Stemness
CXADR	Stemness
CYP2S1	Stemness
DBC1	Stemness
DCAMKL1	Stemness
DCP2	Stemness
DHX33	Stemness
B4GALNT4	Stemness
CLDN10	Stemness
PARP1	Stemness
PBX1	Stemness
CDH3	Stemness
CDIP1	Stemness
CDR1	Stemness
CECR1	Stemness
CHCHD1	Stemness
CHEK2	Stemness
CIB2	Stemness
CITED4	Stemness
CKMT1	Stemness
CKS1B	Stemness
ARL2	Stemness
CLDN7	Stemness
CNKSR1	Stemness
CNTNAP2	Stemness
COA1	Stemness
COX6B1	Stemness
COX7C	Stemness
ATXN10	Stemness
AURKB	Stemness
AUTS2	Stemness
AXIN2	Stemness
B3GAT1	Stemness
B4GALNT3	Stemness
ATP5H	Stemness
ARL6IP	Stemness
ATIC	Stemness
ATP5G3	Stemness
PDGFA	Stemness
ATPBD4	Stemness
ATPIF1	Stemness
PCTK1	Stemness
PFAS	Stemness
PDPN	Stemness
PDZK4	Stemness
PELI1	Stemness
PBX3	Stemness
PCDH1	Stemness
PCNA	Stemness
TRIM14	Stemness
TRA16	Stemness
TRERF1	Stemness
ZNF447	Stemness
ZNF505	Stemness
ZNF518	Stemness
ZNF553	Stemness
ZNF638	Stemness
ZNF770	Stemness
ZRF1	Stemness
ZNF614	Stemness
TRIM22	Stemness
TRIM24	Stemness
TRIM36	Stemness
TRIM2	Stemness
TSC	Stemness
ZNF567	Stemness
ZNF588	Stemness
TRIP8	Stemness
TUBA1	Stemness
TUBB	Stemness
TUBB2	Stemness
TUBB6	Stemness
TXNDC	Stemness
UACA	Stemness
UBA2	Stemness
UBE1C	Stemness
UBE2C	Stemness
UCHL1	Stemness
TTC19	Stemness
TTF2	Stemness
ZNF589	Stemness
ZNF257	Stemness
ZNF267	Stemness
ZNF273	Stemness
ZNF281	Stemness
ZNF331	Stemness
ZNF398	Stemness
ZNF43	Stemness
CBS	Stemness
CBX3	Stemness
CBX5	Stemness
CCAR1	Stemness
CCDC5	Stemness
TTK	Stemness
CCL26	Stemness
CCNA2	Stemness
CCNB1	Stemness
CCNC	Stemness
CCRN4L	Stemness
CCT5	Stemness
CCT8	Stemness
CD200	Stemness
CD24	Stemness
CD2AP	Stemness
CD9	Stemness
CDA	Stemness
CCKBR	Stemness
CDC20	Stemness
CDC25A	Stemness
CDC6	Stemness
CDC7	Stemness
CDCA5	Stemness
CDCA7	Stemness
CDH1	Stemness
CDH6	Stemness
CDT1	Stemness
CDYL	Stemness
CEB1	Stemness
UGCGL1	Stemness
CDC2	Stemness
UGP2	Stemness
UGT8	Stemness
UNC5D	Stemness
UNG	Stemness
UNQ470	Stemness
UQCRH	Stemness
USO1	Stemness
USP1	Stemness
USP28	Stemness
USP32	Stemness
USP44	Stemness
USP46	Stemness
USP9X	Stemness
USP9Y	Stemness
UTF1	Stemness
VANGL2	Stemness
VBP1	Stemness
VENTX2	Stemness
VRK1	Stemness
VSNL1	Stemness
WBSCR16	Stemness
WBSCR17	Stemness
WDHD1	Stemness
WDR12	Stemness
WDR3	Stemness
WDR4	Stemness
WDR9	Stemness
WDSOF1	Stemness
WFDC2	Stemness
XPO1	Stemness
XRCC5	Stemness
YBX2	Stemness
YTHDF2	Stemness
ZBTB3	Stemness
ZD52F10	Stemness
ZFP42	Stemness
ZIC2	Stemness
ZIC3	Stemness
CEBPZ	Stemness
CECR1	Stemness
ZNF195	Stemness
ZNF198	Stemness
HSPA9B	Stemness
HSPC111	Stemness
HSPC163	Stemness
HSPD1	Stemness
HSPE1	Stemness
HT017	Stemness
HTR1D	Stemness
Hs.105196	Stemness
Hs.173497	Stemness
Hs.178761	Stemness
Hs.40154	Stemness
Hs.60548	Stemness
ID1	Stemness
IDH1	Stemness
IFI30	Stemness
IFITM1	Stemness
IGF2BP3	Stemness
IGFBP2	Stemness
ZSCAN10	Stemness
FLJ21908	Stemness
FLJ21918	Stemness
FLJ21924	Stemness
FLJ22662	Stemness
FLJ30046	Stemness
FLJ31434	Stemness
FLJ34633	Stemness
FLJ40432	Stemness
FNBP1L	Stemness
FNBP3	Stemness
FOXA3	Stemness
FOXD3	Stemness
FOXN3	Stemness
FOXO1	Stemness
FRAS1	Stemness
FRAT2	Stemness
FRSB	Stemness
ZNF117	Stemness
ZNF146	Stemness
DLAT	Stemness
DLG3	Stemness
DLG7	Stemness
DNA2L	Stemness
DNAJB6	Stemness
DNMT3A	Stemness
DNMT3B	Stemness
DPP3	Stemness
DPPA4	Stemness
DPYSL3	Stemness
DPYSL5	Stemness
DRIM	Stemness
DSG2	Stemness
DSP	Stemness
DTYMK	Stemness
DUSP16	Stemness
DUT	Stemness
E2F5	Stemness
ECT2	Stemness
EEF1A1	Stemness
EEF1E1	Stemness
EFCBP1	Stemness
EFS	Stemness
EFTUD1	Stemness
EGFL4	Stemness
EGLN3	Stemness
EIF1AX	Stemness
EIF2S1	Stemness
EIF3S10	Stemness
EIF3S3	Stemness
EIF3S6	Stemness
EIF3S9	Stemness
EIF4A1	Stemness
EIF4E	Stemness
EIF4EBP1	Stemness
EIF5B	Stemness
ELOVL6	Stemness
ENAH	Stemness
ENO2	Stemness
ENPP1	Stemness
EOMES	Stemness
EPB41L4B	Stemness
EPHA1	Stemness
EPRS	Stemness
ERBB2	Stemness
ERBP	Stemness
ETV1	Stemness
ETV4	Stemness
EXOSC2	Stemness
EXOSC5	Stemness
EXOSC7	Stemness
EXOSC9	Stemness
EXTL2	Stemness
F2RL1	Stemness
FABP5	Stemness
FALZ	Stemness
FAM124A	Stemness
FAM131B	Stemness
FAM29A	Stemness
FAM46B	Stemness
FAM60A	Stemness
FAM72A	Stemness
FANCG	Stemness
FANCL	Stemness
FBXL10	Stemness
FBXO5	Stemness
FCHO1	Stemness
FEN1	Stemness
FEZ1	Stemness
FGF13	Stemness
FGF2	Stemness
FGFR1	Stemness
FGFR3	Stemness
FGFR4	Stemness
FIGNL1	Stemness
FKBP1B	Stemness
FKBP3	Stemness
FKBP5	Stemness
FKSG14	Stemness
FLJ10036	Stemness
FLJ10156	Stemness
FLJ10330	Stemness
FLJ10378	Stemness
FLJ10407	Stemness
FLJ10534	Stemness
FLJ10700	Stemness
FLJ10808	Stemness
FLJ10884	Stemness
FLJ11184	Stemness
FLJ12484	Stemness
FLJ12519	Stemness
FLJ12644	Stemness
FLJ12650	Stemness
FLJ13842	Stemness
FLJ13909	Stemness
FLJ20105	Stemness
FLJ20171	Stemness
FLJ20485	Stemness
FLJ20641	Stemness
FLJ20674	Stemness
FLJ21148	Stemness
FLJ21168	Stemness
FLJ21901	Stemness
ORC2L	Stemness
ORC3L	Stemness
OSBPL9	Stemness
OTX2	Stemness
PAI-RBP1	Stemness
PAICS	Stemness
PAK1	Stemness
PAK1IP1	Stemness
PANK2	Stemness
PARP1	Stemness
PASK	Stemness
PAWR	Stemness
PAXIP1L	Stemness
PBEF1	Stemness
PBX1	Stemness
PCDH1	Stemness
PCNA	Stemness
FSD1	Stemness
FUBP1	Stemness
FXR1	Stemness
FZD7	Stemness
G3BP1	Stemness
G3BP2	Stemness
GABRA1	Stemness
GABRA5	Stemness
GABRB3	Stemness
GAD1	Stemness
AARS	Stemness
AASS	Stemness
ABCE1	Stemness
ABHD9	Stemness
ACTA1	Stemness
ACTC	Stemness
ACTN3	Stemness
ACVR2B	Stemness
ADAM19	Stemness
ADAM23	Stemness
ADCY2	Stemness
ADD2	Stemness
ADM	Stemness
ADNP	Stemness
ADSL	Stemness
AER61	Stemness
AF020591	Stemness
AFP	Stemness
AGL	Stemness
AGPS	Stemness
AK3	Stemness
AKAP1	Stemness
ALDH7A1	Stemness
ALPL	Stemness
AMD1	Stemness
AMMECR1	Stemness
ANAPC1	Stemness
ANK2	Stemness
ANKHD1	Stemness
ANKRD10	Stemness
AP1M2	Stemness
AP1S2	Stemness
APBB2	Stemness
APEX1	Stemness
API5	Stemness
APPBP1	Stemness
ARF3	Stemness
ARFGEF1	Stemness
ARHGAP19	Stemness
ARHGAP8	Stemness
ARL8	Stemness
ARNTL2	Stemness
ASC	Stemness
ASE-1	Stemness
ASML3B	Stemness
ASPM	Stemness
ASS	Stemness
ATE1	Stemness
ATIC	Stemness
ATP1A2	Stemness
ATP1B3	Stemness
ATXN7L1	Stemness
AURKB	Stemness
AUTS2	Stemness
B3GAT1	Stemness
B3GNT7	Stemness
BAT1	Stemness
BAX	Stemness
BCAT1	Stemness
BCCIP	Stemness
BCL2L12	Stemness
BCOR	Stemness
BICD1	Stemness
BIRC5	Stemness
BLM	Stemness
BM039	Stemness
BMP2K	Stemness
BMP7	Stemness
BMPR1A	Stemness
BOMB	Stemness
BOP1	Stemness
BRAF	Stemness
BRIX	Stemness
BRRN1	Stemness
BST2	Stemness
BUB1	Stemness
